"","Name","Year","Species","Calls"
"172","Petersburg",2020,"MYEV",7
"173","Petersburg",2020,"MYLU",25
"174","Petersburg",2020,"MYVO",11
"175","Petersburg",2020,"MYYU",0
"176","Petersburg",2021,"LACI",0
"177","Petersburg",2021,"LANO",9
"178","Petersburg",2021,"MYCA",6
"179","Petersburg",2021,"MYEV",49
"180","Petersburg",2021,"MYLU",30
"181","Petersburg",2021,"MYVO",19
"182","Petersburg",2021,"MYYU",0
"183","Petersburg",2022,"LACI",1
"184","Petersburg",2022,"LANO",53
"185","Petersburg",2022,"MYCA",970
"186","Petersburg",2022,"MYEV",253
"187","Petersburg",2022,"MYLU",1779
"188","Petersburg",2022,"MYVO",240
"189","Petersburg",2022,"MYYU",0
"190","Petersburg",2023,"LACI",0
"191","Petersburg",2023,"LANO",108
"192","Petersburg",2023,"MYCA",201
"193","Petersburg",2023,"MYEV",55
"194","Petersburg",2023,"MYLU",526
"195","Petersburg",2023,"MYVO",44
"196","Petersburg",2023,"MYYU",0
"197","Petersburg",2024,"LACI",2
"198","Petersburg",2024,"LANO",15
"199","Petersburg",2024,"MYCA",371
"200","Petersburg",2024,"MYEV",287
"201","Petersburg",2024,"MYLU",8169
"202","Petersburg",2024,"MYVO",182
"203","Petersburg",2024,"MYYU",0
"204","Petersburg",2025,"LACI",0
"205","Petersburg",2025,"LANO",35
"206","Petersburg",2025,"MYCA",128
"207","Petersburg",2025,"MYEV",335
"208","Petersburg",2025,"MYLU",2692
"209","Petersburg",2025,"MYVO",113
"210","Petersburg",2025,"MYYU",0
"211","Sitka",2019,"LACI",0
"212","Sitka",2019,"LANO",54
"213","Sitka",2019,"MYCA",114
"214","Sitka",2019,"MYEV",0
"215","Sitka",2019,"MYLU",42
"216","Sitka",2019,"MYVO",0
"217","Sitka",2019,"MYYU",0
"218","Sitka",2020,"LACI",2
"219","Sitka",2020,"LANO",17
"220","Sitka",2020,"MYCA",210
"221","Sitka",2020,"MYEV",2
"222","Sitka",2020,"MYLU",20
"223","Sitka",2020,"MYVO",0
"224","Sitka",2020,"MYYU",0
"225","Sitka",2022,"LACI",0
"226","Sitka",2022,"LANO",2
"227","Sitka",2022,"MYCA",13
"228","Sitka",2022,"MYEV",0
"229","Sitka",2022,"MYLU",290
"230","Sitka",2022,"MYVO",0
"231","Sitka",2022,"MYYU",0
"232","Sitka",2023,"LACI",1
"233","Sitka",2023,"LANO",371
"234","Sitka",2023,"MYCA",106
"235","Sitka",2023,"MYEV",1
"236","Sitka",2023,"MYLU",205
"237","Sitka",2023,"MYVO",0
"238","Sitka",2023,"MYYU",0
"239","Sitka",2024,"LACI",3
"240","Sitka",2024,"LANO",321
"241","Sitka",2024,"MYCA",1697
"242","Sitka",2024,"MYEV",1
"243","Sitka",2024,"MYLU",508
"244","Sitka",2024,"MYVO",0
"245","Sitka",2024,"MYYU",0
"246","Sitka",2025,"LACI",0
"247","Sitka",2025,"LANO",134
"248","Sitka",2025,"MYCA",828
"249","Sitka",2025,"MYEV",3
"250","Sitka",2025,"MYLU",1042
"251","Sitka",2025,"MYVO",0
"252","Sitka",2025,"MYYU",0
"253","Valley",2019,"LACI",0
"254","Valley",2019,"LANO",2
"255","Valley",2019,"MYCA",10
"256","Valley",2019,"MYEV",8
"257","Valley",2019,"MYLU",5102
"258","Valley",2019,"MYVO",0
"259","Valley",2019,"MYYU",0
"260","Valley",2020,"LACI",6
"261","Valley",2020,"LANO",5
"262","Valley",2020,"MYCA",107
"263","Valley",2020,"MYEV",17
"264","Valley",2020,"MYLU",12088
"265","Valley",2020,"MYVO",0
"266","Valley",2020,"MYYU",0
"267","Valley",2021,"LACI",0
"268","Valley",2021,"LANO",1
"269","Valley",2021,"MYCA",7
"270","Valley",2021,"MYEV",3
"271","Valley",2021,"MYLU",412
"272","Valley",2021,"MYVO",0
"273","Valley",2021,"MYYU",0
"274","Valley",2022,"LACI",0
"275","Valley",2022,"LANO",14
"276","Valley",2022,"MYCA",32
"277","Valley",2022,"MYEV",37
"278","Valley",2022,"MYLU",8651
"279","Valley",2022,"MYVO",0
"280","Valley",2022,"MYYU",0
"281","Valley",2023,"LACI",1
"282","Valley",2023,"LANO",27
"283","Valley",2023,"MYCA",65
"284","Valley",2023,"MYEV",44
"285","Valley",2023,"MYLU",8034
"286","Valley",2023,"MYVO",0
"287","Valley",2023,"MYYU",0
"288","Valley",2024,"LACI",1
"289","Valley",2024,"LANO",30
"290","Valley",2024,"MYCA",115
"291","Valley",2024,"MYEV",61
"292","Valley",2024,"MYLU",13864
"293","Valley",2024,"MYVO",0
"294","Valley",2024,"MYYU",0
"295","Valley",2025,"LACI",1
"296","Valley",2025,"LANO",26
"297","Valley",2025,"MYCA",66
"298","Valley",2025,"MYEV",39
"299","Valley",2025,"MYLU",5135
"300","Valley",2025,"MYVO",0
"301","Valley",2025,"MYYU",0
"302","Wrangell",2019,"LACI",0
"303","Wrangell",2019,"LANO",0
"304","Wrangell",2019,"MYCA",6
"305","Wrangell",2019,"MYEV",2
"306","Wrangell",2019,"MYLU",4
"307","Wrangell",2019,"MYVO",5
"308","Wrangell",2019,"MYYU",0
"309","Wrangell",2020,"LACI",0
"310","Wrangell",2020,"LANO",0
"311","Wrangell",2020,"MYCA",12
"312","Wrangell",2020,"MYEV",14
"313","Wrangell",2020,"MYLU",49
"314","Wrangell",2020,"MYVO",9
"315","Wrangell",2020,"MYYU",0
"316","Wrangell",2021,"LACI",0
"317","Wrangell",2021,"LANO",0
"318","Wrangell",2021,"MYCA",4
"319","Wrangell",2021,"MYEV",24
"320","Wrangell",2021,"MYLU",53
"321","Wrangell",2021,"MYVO",10
"322","Wrangell",2021,"MYYU",0
"323","Wrangell",2022,"LACI",0
"324","Wrangell",2022,"LANO",3
"325","Wrangell",2022,"MYCA",17
"326","Wrangell",2022,"MYEV",1
"327","Wrangell",2022,"MYLU",10
"328","Wrangell",2022,"MYVO",8
"329","Wrangell",2022,"MYYU",0
"330","Wrangell",2023,"LACI",0
"331","Wrangell",2023,"LANO",18
"332","Wrangell",2023,"MYCA",37
"333","Wrangell",2023,"MYEV",26
"334","Wrangell",2023,"MYLU",39
"335","Wrangell",2023,"MYVO",17
"336","Wrangell",2023,"MYYU",0
"337","Wrangell",2024,"LACI",2
"338","Wrangell",2024,"LANO",57
"339","Wrangell",2024,"MYCA",155
"340","Wrangell",2024,"MYEV",187
"341","Wrangell",2024,"MYLU",343
"342","Wrangell",2024,"MYVO",72
"343","Wrangell",2024,"MYYU",0
"344","Wrangell",2025,"LACI",0
"345","Wrangell",2025,"LANO",29
"346","Wrangell",2025,"MYCA",26
"347","Wrangell",2025,"MYEV",16
"348","Wrangell",2025,"MYLU",18
"349","Wrangell",2025,"MYVO",29
"350","Wrangell",2025,"MYYU",0
"351","Yakutat",2019,"LACI",0
"352","Yakutat",2019,"LANO",0
"353","Yakutat",2019,"MYCA",5
"354","Yakutat",2019,"MYEV",0
"355","Yakutat",2019,"MYLU",311
"356","Yakutat",2019,"MYVO",0
"357","Yakutat",2019,"MYYU",0
"358","Yakutat",2020,"LACI",0
"359","Yakutat",2020,"LANO",0
"360","Yakutat",2020,"MYCA",17
"361","Yakutat",2020,"MYEV",0
"362","Yakutat",2020,"MYLU",2836
"363","Yakutat",2020,"MYVO",0
"364","Yakutat",2020,"MYYU",0
"365","Yakutat",2021,"LACI",1
"366","Yakutat",2021,"LANO",0
"367","Yakutat",2021,"MYCA",31
"368","Yakutat",2021,"MYEV",0
"369","Yakutat",2021,"MYLU",3941
"370","Yakutat",2021,"MYVO",0
"371","Yakutat",2021,"MYYU",0
"372","Yakutat",2022,"LACI",2
"373","Yakutat",2022,"LANO",0
"374","Yakutat",2022,"MYCA",7
"375","Yakutat",2022,"MYEV",4
"376","Yakutat",2022,"MYLU",2240
"377","Yakutat",2022,"MYVO",0
"378","Yakutat",2022,"MYYU",0
"379","Yakutat",2023,"LACI",0
"380","Yakutat",2023,"LANO",0
"381","Yakutat",2023,"MYCA",13
"382","Yakutat",2023,"MYEV",0
"383","Yakutat",2023,"MYLU",2532
"384","Yakutat",2023,"MYVO",0
"385","Yakutat",2023,"MYYU",0
"386","Yakutat",2024,"LACI",0
"387","Yakutat",2024,"LANO",0
"388","Yakutat",2024,"MYCA",850
"389","Yakutat",2024,"MYEV",3
"390","Yakutat",2024,"MYLU",16067
"391","Yakutat",2024,"MYVO",0
"392","Yakutat",2024,"MYYU",0
