,GRTS.Cell.ID,Quadrant,Night,LACI,LANO,MYCA,MYEV,MYLU,MYVO,MYYU,Year,Lat,Long,sset,srise,mrise,mset,GRTS_ID,Name,SiteName,Elevation,Habitat.Type,Feature.Sampled,Distance.to.Clutter..m.,Percent.Clutter,Water.Nearby,WaterDist,WaterType,Region,nightlen,observationtime,mtime,mtime2h,Nightly.Mean.Temp,Nightly.Min.Temp,Nightly.Max.Temp,Nightly.Mean.RH,Nightly.Min.RH,Nightly.Max.RH,Nightly.Precipitation,Nightly.Mean.Windsp,ddclim,WeatherSource,strm_dist,lake_dist,harv_dist,harv_year,road_dist,rnum,jNight,jNightM15,Habitat2,TLength,SpeciesGroup,SpeciesFullPool,SpeciesSingleton,SpeciesPartPool,Site_key
211,34338,Transects,2019-08-02,0,0,0,0,6,0,0,2019,59.46394,-139.59129,2019-08-02 21:42,2019-08-03 05:07,,2019-08-02T22:46:26,34338,Yakutat,,,,,,,,,,Alaska,0.308715278,0.350381944,0.044270833,0,11.8875,10.6,13.9,95.625,89,100,0,0.375,293.2505851,Meteostat,,,,,,1763,214,79,,25.78700066,MYEV,0,0,0,34338
269,34338,Transects,2019-08-02,0,0,0,0,6,0,0,2019,59.46394,-139.59129,2019-08-02 21:42,2019-08-03 05:07,,2019-08-02T22:46:26,34338,Yakutat,,,,,,,,,,Alaska,0.308715278,0.350381944,0.044270833,0,11.8875,10.6,13.9,95.625,89,100,0,0.375,293.2505851,Meteostat,,,,,,1763,214,79,,25.78700066,MYLU,6,6,6,34338
327,34338,Transects,2019-08-02,0,0,0,0,6,0,0,2019,59.46394,-139.59129,2019-08-02 21:42,2019-08-03 05:07,,2019-08-02T22:46:26,34338,Yakutat,,,,,,,,,,Alaska,0.308715278,0.350381944,0.044270833,0,11.8875,10.6,13.9,95.625,89,100,0,0.375,293.2505851,Meteostat,,,,,,1763,214,79,,25.78700066,MYVO,0,0,0,34338
385,34338,Transects,2019-08-02,0,0,0,0,6,0,0,2019,59.46394,-139.59129,2019-08-02 21:42,2019-08-03 05:07,,2019-08-02T22:46:26,34338,Yakutat,,,,,,,,,,Alaska,0.308715278,0.350381944,0.044270833,0,11.8875,10.6,13.9,95.625,89,100,0,0.375,293.2505851,Meteostat,,,,,,1763,214,79,,25.78700066,MYYU,0,0,0,34338
38,34338,Transects,2019-08-06,0,0,0,0,4,0,0,2019,59.46394,-139.59129,2019-08-06 21:32,2019-08-07 05:16,,2019-08-06T23:39:31,34338,Yakutat,,,,,,,,,,Alaska,0.322071759,0.363738426,0.08806713,0.004733796,14.6375,13.9,15.6,89.125,83,93,0,0.1875,314.6005851,Meteostat,,,,,,1764,218,83,,25.78700066,LACI,0,0,0,34338
96,34338,Transects,2019-08-06,0,0,0,0,4,0,0,2019,59.46394,-139.59129,2019-08-06 21:32,2019-08-07 05:16,,2019-08-06T23:39:31,34338,Yakutat,,,,,,,,,,Alaska,0.322071759,0.363738426,0.08806713,0.004733796,14.6375,13.9,15.6,89.125,83,93,0,0.1875,314.6005851,Meteostat,,,,,,1764,218,83,,25.78700066,LANO,0,0,0,34338
154,34338,Transects,2019-08-06,0,0,0,0,4,0,0,2019,59.46394,-139.59129,2019-08-06 21:32,2019-08-07 05:16,,2019-08-06T23:39:31,34338,Yakutat,,,,,,,,,,Alaska,0.322071759,0.363738426,0.08806713,0.004733796,14.6375,13.9,15.6,89.125,83,93,0,0.1875,314.6005851,Meteostat,,,,,,1764,218,83,,25.78700066,MYCA,0,0,0,34338
212,34338,Transects,2019-08-06,0,0,0,0,4,0,0,2019,59.46394,-139.59129,2019-08-06 21:32,2019-08-07 05:16,,2019-08-06T23:39:31,34338,Yakutat,,,,,,,,,,Alaska,0.322071759,0.363738426,0.08806713,0.004733796,14.6375,13.9,15.6,89.125,83,93,0,0.1875,314.6005851,Meteostat,,,,,,1764,218,83,,25.78700066,MYEV,0,0,0,34338
270,34338,Transects,2019-08-06,0,0,0,0,4,0,0,2019,59.46394,-139.59129,2019-08-06 21:32,2019-08-07 05:16,,2019-08-06T23:39:31,34338,Yakutat,,,,,,,,,,Alaska,0.322071759,0.363738426,0.08806713,0.004733796,14.6375,13.9,15.6,89.125,83,93,0,0.1875,314.6005851,Meteostat,,,,,,1764,218,83,,25.78700066,MYLU,4,4,4,34338
328,34338,Transects,2019-08-06,0,0,0,0,4,0,0,2019,59.46394,-139.59129,2019-08-06 21:32,2019-08-07 05:16,,2019-08-06T23:39:31,34338,Yakutat,,,,,,,,,,Alaska,0.322071759,0.363738426,0.08806713,0.004733796,14.6375,13.9,15.6,89.125,83,93,0,0.1875,314.6005851,Meteostat,,,,,,1764,218,83,,25.78700066,MYVO,0,0,0,34338
386,34338,Transects,2019-08-06,0,0,0,0,4,0,0,2019,59.46394,-139.59129,2019-08-06 21:32,2019-08-07 05:16,,2019-08-06T23:39:31,34338,Yakutat,,,,,,,,,,Alaska,0.322071759,0.363738426,0.08806713,0.004733796,14.6375,13.9,15.6,89.125,83,93,0,0.1875,314.6005851,Meteostat,,,,,,1764,218,83,,25.78700066,MYYU,0,0,0,34338
48,47310,Transects,2020-06-07,0,6,1,2,13,10,0,2020,55.48978,-131.59868,2020-06-07 21:25,2020-06-08 04:05,2020-06-07T23:48:40,,47310,Ketchikan,,,,,,,,,,Alaska,0.278113426,0.319780093,0.178472222,0.01630787,8.1125,7.2,10,95.625,89,100,0,1.076388889,79.34444697,Meteostat,,,,,,2112,159,24,,47.06299973,LACI,0,0,0,47310
106,47310,Transects,2020-06-07,0,6,1,2,13,10,0,2020,55.48978,-131.59868,2020-06-07 21:25,2020-06-08 04:05,2020-06-07T23:48:40,,47310,Ketchikan,,,,,,,,,,Alaska,0.278113426,0.319780093,0.178472222,0.01630787,8.1125,7.2,10,95.625,89,100,0,1.076388889,79.34444697,Meteostat,,,,,,2112,159,24,,47.06299973,LANO,6,6,6,47310
164,47310,Transects,2020-06-07,0,6,1,2,13,10,0,2020,55.48978,-131.59868,2020-06-07 21:25,2020-06-08 04:05,2020-06-07T23:48:40,,47310,Ketchikan,,,,,,,,,,Alaska,0.278113426,0.319780093,0.178472222,0.01630787,8.1125,7.2,10,95.625,89,100,0,1.076388889,79.34444697,Meteostat,,,,,,2112,159,24,,47.06299973,MYCA,1,1,1,47310
222,47310,Transects,2020-06-07,0,6,1,2,13,10,0,2020,55.48978,-131.59868,2020-06-07 21:25,2020-06-08 04:05,2020-06-07T23:48:40,,47310,Ketchikan,,,,,,,,,,Alaska,0.278113426,0.319780093,0.178472222,0.01630787,8.1125,7.2,10,95.625,89,100,0,1.076388889,79.34444697,Meteostat,,,,,,2112,159,24,,47.06299973,MYEV,2,2,2,47310
280,47310,Transects,2020-06-07,0,6,1,2,13,10,0,2020,55.48978,-131.59868,2020-06-07 21:25,2020-06-08 04:05,2020-06-07T23:48:40,,47310,Ketchikan,,,,,,,,,,Alaska,0.278113426,0.319780093,0.178472222,0.01630787,8.1125,7.2,10,95.625,89,100,0,1.076388889,79.34444697,Meteostat,,,,,,2112,159,24,,47.06299973,MYLU,13,13,13,47310
338,47310,Transects,2020-06-07,0,6,1,2,13,10,0,2020,55.48978,-131.59868,2020-06-07 21:25,2020-06-08 04:05,2020-06-07T23:48:40,,47310,Ketchikan,,,,,,,,,,Alaska,0.278113426,0.319780093,0.178472222,0.01630787,8.1125,7.2,10,95.625,89,100,0,1.076388889,79.34444697,Meteostat,,,,,,2112,159,24,,47.06299973,MYVO,10,10,10,47310
396,47310,Transects,2020-06-07,0,6,1,2,13,10,0,2020,55.48978,-131.59868,2020-06-07 21:25,2020-06-08 04:05,2020-06-07T23:48:40,,47310,Ketchikan,,,,,,,,,,Alaska,0.278113426,0.319780093,0.178472222,0.01630787,8.1125,7.2,10,95.625,89,100,0,1.076388889,79.34444697,Meteostat,,,,,,2112,159,24,,47.06299973,MYYU,0,0,0,47310
49,47310,Transects,2020-06-09,0,1,0,0,5,4,0,2020,55.48978,-131.59868,2020-06-09 21:27,2020-06-10 04:04,2020-06-10T00:57:43,,47310,Ketchikan,,,,,,,,,,Alaska,0.276134259,0.317800926,0.129814815,0.062986111,10.7125,10,11.7,93.625,89,97,4,5.423611111,81.93147823,Meteostat,,,,,,2113,161,26,,47.06299973,LACI,0,0,0,47310
107,47310,Transects,2020-06-09,0,1,0,0,5,4,0,2020,55.48978,-131.59868,2020-06-09 21:27,2020-06-10 04:04,2020-06-10T00:57:43,,47310,Ketchikan,,,,,,,,,,Alaska,0.276134259,0.317800926,0.129814815,0.062986111,10.7125,10,11.7,93.625,89,97,4,5.423611111,81.93147823,Meteostat,,,,,,2113,161,26,,47.06299973,LANO,1,1,1,47310
165,47310,Transects,2020-06-09,0,1,0,0,5,4,0,2020,55.48978,-131.59868,2020-06-09 21:27,2020-06-10 04:04,2020-06-10T00:57:43,,47310,Ketchikan,,,,,,,,,,Alaska,0.276134259,0.317800926,0.129814815,0.062986111,10.7125,10,11.7,93.625,89,97,4,5.423611111,81.93147823,Meteostat,,,,,,2113,161,26,,47.06299973,MYCA,0,0,0,47310
223,47310,Transects,2020-06-09,0,1,0,0,5,4,0,2020,55.48978,-131.59868,2020-06-09 21:27,2020-06-10 04:04,2020-06-10T00:57:43,,47310,Ketchikan,,,,,,,,,,Alaska,0.276134259,0.317800926,0.129814815,0.062986111,10.7125,10,11.7,93.625,89,97,4,5.423611111,81.93147823,Meteostat,,,,,,2113,161,26,,47.06299973,MYEV,0,0,0,47310
281,47310,Transects,2020-06-09,0,1,0,0,5,4,0,2020,55.48978,-131.59868,2020-06-09 21:27,2020-06-10 04:04,2020-06-10T00:57:43,,47310,Ketchikan,,,,,,,,,,Alaska,0.276134259,0.317800926,0.129814815,0.062986111,10.7125,10,11.7,93.625,89,97,4,5.423611111,81.93147823,Meteostat,,,,,,2113,161,26,,47.06299973,MYLU,5,5,5,47310
339,47310,Transects,2020-06-09,0,1,0,0,5,4,0,2020,55.48978,-131.59868,2020-06-09 21:27,2020-06-10 04:04,2020-06-10T00:57:43,,47310,Ketchikan,,,,,,,,,,Alaska,0.276134259,0.317800926,0.129814815,0.062986111,10.7125,10,11.7,93.625,89,97,4,5.423611111,81.93147823,Meteostat,,,,,,2113,161,26,,47.06299973,MYVO,4,4,4,47310
397,47310,Transects,2020-06-09,0,1,0,0,5,4,0,2020,55.48978,-131.59868,2020-06-09 21:27,2020-06-10 04:04,2020-06-10T00:57:43,,47310,Ketchikan,,,,,,,,,,Alaska,0.276134259,0.317800926,0.129814815,0.062986111,10.7125,10,11.7,93.625,89,97,4,5.423611111,81.93147823,Meteostat,,,,,,2113,161,26,,47.06299973,MYYU,0,0,0,47310
14,5006,Transects,2020-06-24,0,1,0,0,4,2,0,2020,56.59215,-132.7485,2020-06-24 21:46,2020-06-25 04:01,,2020-06-25T00:21:57,5006,Petersburg,,,,,,,,,,Alaska,0.260381944,0.302048611,0.108090278,0.024756944,10.11666667,9,11.7,86.83333333,71,97,1,5.111111111,86.71234019,Meteostat,,,,,,563,176,41,,49.30189896,LACI,0,0,0,5006
72,5006,Transects,2020-06-24,0,1,0,0,4,2,0,2020,56.59215,-132.7485,2020-06-24 21:46,2020-06-25 04:01,,2020-06-25T00:21:57,5006,Petersburg,,,,,,,,,,Alaska,0.260381944,0.302048611,0.108090278,0.024756944,10.11666667,9,11.7,86.83333333,71,97,1,5.111111111,86.71234019,Meteostat,,,,,,563,176,41,,49.30189896,LANO,1,1,1,5006
130,5006,Transects,2020-06-24,0,1,0,0,4,2,0,2020,56.59215,-132.7485,2020-06-24 21:46,2020-06-25 04:01,,2020-06-25T00:21:57,5006,Petersburg,,,,,,,,,,Alaska,0.260381944,0.302048611,0.108090278,0.024756944,10.11666667,9,11.7,86.83333333,71,97,1,5.111111111,86.71234019,Meteostat,,,,,,563,176,41,,49.30189896,MYCA,0,0,0,5006
188,5006,Transects,2020-06-24,0,1,0,0,4,2,0,2020,56.59215,-132.7485,2020-06-24 21:46,2020-06-25 04:01,,2020-06-25T00:21:57,5006,Petersburg,,,,,,,,,,Alaska,0.260381944,0.302048611,0.108090278,0.024756944,10.11666667,9,11.7,86.83333333,71,97,1,5.111111111,86.71234019,Meteostat,,,,,,563,176,41,,49.30189896,MYEV,0,0,0,5006
246,5006,Transects,2020-06-24,0,1,0,0,4,2,0,2020,56.59215,-132.7485,2020-06-24 21:46,2020-06-25 04:01,,2020-06-25T00:21:57,5006,Petersburg,,,,,,,,,,Alaska,0.260381944,0.302048611,0.108090278,0.024756944,10.11666667,9,11.7,86.83333333,71,97,1,5.111111111,86.71234019,Meteostat,,,,,,563,176,41,,49.30189896,MYLU,4,4,4,5006
304,5006,Transects,2020-06-24,0,1,0,0,4,2,0,2020,56.59215,-132.7485,2020-06-24 21:46,2020-06-25 04:01,,2020-06-25T00:21:57,5006,Petersburg,,,,,,,,,,Alaska,0.260381944,0.302048611,0.108090278,0.024756944,10.11666667,9,11.7,86.83333333,71,97,1,5.111111111,86.71234019,Meteostat,,,,,,563,176,41,,49.30189896,MYVO,2,2,2,5006
362,5006,Transects,2020-06-24,0,1,0,0,4,2,0,2020,56.59215,-132.7485,2020-06-24 21:46,2020-06-25 04:01,,2020-06-25T00:21:57,5006,Petersburg,,,,,,,,,,Alaska,0.260381944,0.302048611,0.108090278,0.024756944,10.11666667,9,11.7,86.83333333,71,97,1,5.111111111,86.71234019,Meteostat,,,,,,563,176,41,,49.30189896,MYYU,0,0,0,5006
15,5006,Transects,2020-06-25,0,0,0,1,3,2,0,2020,56.59215,-132.7485,2020-06-25 21:46,2020-06-26 04:01,,2020-06-26T00:40:43,5006,Petersburg,,,,,,,,,,Alaska,0.260844907,0.302511574,0.121203704,0.03787037,10.8,10.6,11.1,86.71428571,83,92,1,4.111111111,87.66385139,Meteostat,,,,,,564,177,42,,49.30189896,LACI,0,0,0,5006
73,5006,Transects,2020-06-25,0,0,0,1,3,2,0,2020,56.59215,-132.7485,2020-06-25 21:46,2020-06-26 04:01,,2020-06-26T00:40:43,5006,Petersburg,,,,,,,,,,Alaska,0.260844907,0.302511574,0.121203704,0.03787037,10.8,10.6,11.1,86.71428571,83,92,1,4.111111111,87.66385139,Meteostat,,,,,,564,177,42,,49.30189896,LANO,0,0,0,5006
131,5006,Transects,2020-06-25,0,0,0,1,3,2,0,2020,56.59215,-132.7485,2020-06-25 21:46,2020-06-26 04:01,,2020-06-26T00:40:43,5006,Petersburg,,,,,,,,,,Alaska,0.260844907,0.302511574,0.121203704,0.03787037,10.8,10.6,11.1,86.71428571,83,92,1,4.111111111,87.66385139,Meteostat,,,,,,564,177,42,,49.30189896,MYCA,0,0,0,5006
189,5006,Transects,2020-06-25,0,0,0,1,3,2,0,2020,56.59215,-132.7485,2020-06-25 21:46,2020-06-26 04:01,,2020-06-26T00:40:43,5006,Petersburg,,,,,,,,,,Alaska,0.260844907,0.302511574,0.121203704,0.03787037,10.8,10.6,11.1,86.71428571,83,92,1,4.111111111,87.66385139,Meteostat,,,,,,564,177,42,,49.30189896,MYEV,1,1,1,5006
